"Source:","C:\Users\khsda\OneDrive\바탕 화면\Project2\Air_Pollution_Sensor\Air_Pollution_Sensor.sch"
"Date:","2021-04-16 오전 11:01:10"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","100"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","10uF","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol",""
"C3, ","1","4.7uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C4, C7, C9, C10, C11, C12, C19, C22, C26, C27, C28, C34, C39, ","13","100nF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C5, C8, C13, ","3","2.2uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C6, C17, C20, C25, C32, ","5","1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C14, C15, C23, C24, C33, C41, C42, C43, ","8","10uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C16, ","1","4.7nF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C18, C21, ","2","0.1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C29, C30, ","2","8pF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C31, ","1","10nF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"D1, D2, D3, ","3","LED","LED","Air_Pollution_Sensor:C503B-GAN-CB0F0791","Light emitting diode",""
"D4, D5, ","2","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode",""
"FB1, ","1","Ferrite_Bead","Ferrite_Bead","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Ferrite bead",""
"FB2, ","1","100Mhz","Ferrite_Bead","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Ferrite bead",""
"J1, ","1","PJ-002AH","PJ-002AH","Air_Pollution_Sensor:CUI_PJ-002AH","",""
"J2, ","1","USB3075-30-A","USB3075-30-A-Air_Pollution_Sensor-cache","Air_Pollution_Sensor:GCT_USB3075-30-A","",""
"J3, J4, ","2","61301021821","61301021821-Air_Pollution_Sensor-cache","Air_Pollution_Sensor:61301021821","",""
"R1, R2, R24, ","3","10k","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R3, ","1","1M","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R4, ","1","140","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R5, ","1","1k","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R6, ","1","60","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R7, R8, ","2","5","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R9, ","1","4.7K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R10, R14, R16, R19, R20, R21, R22, R23, ","8","10K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R11, ","1","1K","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R12, R13, ","2","22","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R15, ","1","510","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"R17, R18, ","2","0","R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol",""
"S1, ","1","1825057-5","1825057-5-Air_Pollution_Sensor-cache","Air_Pollution_Sensor:DIP762W56P254L1772H585Q12","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, ","8","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"TP9, TP10, TP11, TP12, ","4","TestPoint","TestPoint","TestPoint:TestPoint_Pad_D2.0mm","test point",""
"U1, ","1","LM1085ISX-3.3_NOPB","LM1085ISX-3.3_NOPB-Air_Pollution_Sensor-cache","Air_Pollution_Sensor:TO254P1524X483-4N","",""
"U2, ","1","ICE40UP5K-SG48ITR","ICE40UP5K-SG48ITR","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","iCE40 UltraPlus FPGA, 5280 LUTs, 1.2V, 48-pin QFN",""
"U3, ","1","TCN75AVOA","TCN75AVOA-Air_Pollution_Sensor-cache","Air_Pollution_Sensor:SOIC127P600X175-8N","",""
"U4, ","1","ENS210","ENS210","Package_DFN_QFN:AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm","Relative Humidity and Temperature Sensor with I2C Interface",""
"U5, ","1","ESP-12E","ESP-12E","RF_Module:ESP-12E","802.11 b/g/n Wi-Fi Module",""
"U6, ","1","STM32F469VETx","STM32F469VETx","Package_QFP:LQFP-100_14x14mm_P0.5mm","ARM Cortex-M4 MCU, 512KB flash, 320KB RAM, 180MHz, 1.7-3.6V, 71 GPIO, LQFP-100",""
"U7, ","1","W25Q32JVSS","W25Q32JVSS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","32Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8",""
"U8, ","1","LD1117S12TR_SOT223","LD1117S12TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","800mA Fixed Low Drop Positive Voltage Regulator, Fixed Output 1.2V, SOT-223",""
"U9, ","1","ECMF02-2AMX6","ECMF02-2AMX6","Air_Pollution_Sensor:ECMF02-2AMX6","",""
